diagnosis_key,icd_code,icd_version,diagnosis_title
10-S9301XS,S9301XS,10,"Subluxation of right ankle joint, sequela"
10-S9313,S9313,10,Subluxation of interphalangeal joint
10-T22131D,T22131D,10,"Burn of first degree of right upper arm, subsequent encounter"
10-T371X4S,T371X4S,10,"Poisoning by antimycobacterial drugs, undetermined, sequela"
10-T433X1,T433X1,10,"Poisoning by phenothiazine antipsychotics and neuroleptics, accidental (unintentional)"
10-T475X6S,T475X6S,10,"Underdosing of digestants, sequela"
10-T483X3A,T483X3A,10,"Poisoning by antitussives, assault, initial encounter"
10-T63042S,T63042S,10,"Toxic effect of cobra venom, intentional self-harm, sequela"
10-T8242XA,T8242XA,10,"Displacement of vascular dialysis catheter, initial encounter"
10-T83193,T83193,10,Other mechanical complication of other urinary stent
10-T839XXD,T839XXD,10,"Unspecified complication of genitourinary prosthetic device, implant and graft, subsequent encounter"
10-T85694S,T85694S,10,"Other mechanical complication of insulin pump, sequela"
10-V201XXA,V201XXA,10,"Motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
10-V224,V224,10,Motorcycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident
10-V686XXS,V686XXS,10,"Passenger in heavy transport vehicle injured in noncollision transport accident in traffic accident, sequela"
10-V856XXD,V856XXD,10,"Passenger of special construction vehicle injured in nontraffic accident, subsequent encounter"
10-V9186,V9186,10,Other injury due to other accident to (nonpowered) inflatable craft
10-W06XXXA,W06XXXA,10,"Fall from bed, initial encounter"
10-W13,W13,10,"Fall from, out of or through building or structure"
10-W620,W620,10,Contact with nonvenomous frogs
10-Y35839D,Y35839D,10,"Legal intervention involving a conducted energy device, unspecified person injured, subsequent encounter"
10-Y3591XS,Y3591XS,10,"Legal intervention, means unspecified, law enforcement official injured, sequela"
10-Y3702,Y3702,10,Military operations involving explosion of marine mine
10-Y385X2,Y385X2,10,"Terrorism involving nuclear weapons, civilian injured"
10-Y738,Y738,10,"Miscellaneous gastroenterology and urology devices associated with adverse incidents, not elsewhere classified"
10-Z0183,Z0183,10,Encounter for blood typing
10-Z183,Z183,10,Retained organic fragments
10-Z482,Z482,10,Encounter for aftercare following organ transplant
10-Z608,Z608,10,Other problems related to social environment
10-Z89611,Z89611,10,Acquired absence of right leg above knee
10-A4282,A4282,10,Actinomycotic encephalitis
10-B0223,B0223,10,Postherpetic polyneuropathy
10-B0804,B0804,10,"Paravaccinia, unspecified"
10-C3492,C3492,10,Malignant neoplasm of unspecified part of left bronchus or lung
10-C7931,C7931,10,Secondary malignant neoplasm of brain
10-C7A023,C7A023,10,Malignant carcinoid tumor of the transverse colon
10-D261,D261,10,Other benign neoplasm of corpus uteri
10-D400,D400,10,Neoplasm of uncertain behavior of prostate
10-E08641,E08641,10,Diabetes mellitus due to underlying condition with hypoglycemia with coma
10-F1824,F1824,10,Inhalant dependence with inhalant-induced mood disorder
10-H20,H20,10,Iridocyclitis
10-H3142,H3142,10,Serous choroidal detachment
10-H35019,H35019,10,"Changes in retinal vascular appearance, unspecified eye"
10-H35439,H35439,10,"Paving stone degeneration of retina, unspecified eye"
10-H44822,H44822,10,"Luxation of globe, left eye"
10-I6351,I6351,10,Cerebral infarction due to unspecified occlusion or stenosis of middle cerebral artery
10-I744,I744,10,"Embolism and thrombosis of arteries of extremities, unspecified"
10-I891,I891,10,Lymphangitis
10-K051,K051,10,Chronic gingivitis
10-K08411,K08411,10,"Partial loss of teeth due to trauma, class I"
10-L14,L14,10,Bullous disorders in diseases classified elsewhere
10-L9731,L9731,10,Non-pressure chronic ulcer of right ankle
10-M00259,M00259,10,"Other streptococcal arthritis, unspecified hip"
10-M050,M050,10,Felty's syndrome
10-M11021,M11021,10,"Hydroxyapatite deposition disease, right elbow"
10-M61559,M61559,10,"Other ossification of muscle, unspecified thigh"
10-M62061,M62061,10,"Separation of muscle (nontraumatic), right lower leg"
10-M70969,M70969,10,"Unspecified soft tissue disorder related to use, overuse and pressure, unspecified lower leg"
10-M84532G,M84532G,10,"Pathological fracture in neoplastic disease, left ulna, subsequent encounter for fracture with delayed healing"
10-M84669,M84669,10,"Pathological fracture in other disease, unspecified tibia and fibula"
10-M84756K,M84756K,10,"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
10-M86019,M86019,10,"Acute hematogenous osteomyelitis, unspecified shoulder"
10-M87022,M87022,10,Idiopathic aseptic necrosis of left humerus
10-M911,M911,10,Juvenile osteochondrosis of head of femur [Legg-Calve-Perthes]
10-N486,N486,10,Induration penis plastica
10-N808,N808,10,Other endometriosis
10-N8300,N8300,10,"Follicular cyst of ovary, unspecified side"
10-N99534,N99534,10,Stenosis of continent stoma of urinary tract
10-O9A13,O9A13,10,Malignant neoplasm complicating the puerperium
10-P015,P015,10,Newborn affected by multiple pregnancy
10-Q112,Q112,10,Microphthalmos
10-S0194,S0194,10,Puncture wound with foreign body of unspecified part of head
10-S06319S,S06319S,10,"Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, sequela"
10-S23428S,S23428S,10,"Other sprain of sternum, sequela"
10-S33111,S33111,10,Dislocation of L1/L2 lumbar vertebra
10-S3591XD,S3591XD,10,"Laceration of unspecified blood vessel at abdomen, lower back and pelvis level, subsequent encounter"
10-S36898S,S36898S,10,"Other injury of other intra-abdominal organs, sequela"
10-S37511A,S37511A,10,"Primary blast injury of fallopian tube, unilateral, initial encounter"
10-S42151B,S42151B,10,"Displaced fracture of neck of scapula, right shoulder, initial encounter for open fracture"
10-S42222,S42222,10,2-part displaced fracture of surgical neck of left humerus
10-S42302B,S42302B,10,"Unspecified fracture of shaft of humerus, left arm, initial encounter for open fracture"
10-S42412S,S42412S,10,"Displaced simple supracondylar fracture without intercondylar fracture of left humerus, sequela"
10-S4382,S4382,10,Sprain of other specified parts of left shoulder girdle
10-S45392A,S45392A,10,"Other specified injury of superficial vein at shoulder and upper arm level, left arm, initial encounter"
10-S51842A,S51842A,10,"Puncture wound with foreign body of left forearm, initial encounter"
10-S52362C,S52362C,10,"Displaced segmental fracture of shaft of radius, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC"
10-S52501E,S52501E,10,"Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type I or II with routine healing"
10-S52561M,S52561M,10,"Barton's fracture of right radius, subsequent encounter for open fracture type I or II with nonunion"
10-S5631,S5631,10,"Strain of extensor or abductor muscles, fascia and tendons of thumb at forearm level"
10-S59041,S59041,10,"Salter-Harris Type IV physeal fracture of lower end of ulna, right arm"
10-S59042G,S59042G,10,"Salter-Harris Type IV physeal fracture of lower end of ulna, left arm, subsequent encounter for fracture with delayed healing"
10-S62115A,S62115A,10,"Nondisplaced fracture of triquetrum [cuneiform] bone, left wrist, initial encounter for closed fracture"
10-S62231,S62231,10,"Other displaced fracture of base of first metacarpal bone, right hand"
10-S62233S,S62233S,10,"Other displaced fracture of base of first metacarpal bone, unspecified hand, sequela"
10-S63275,S63275,10,Dislocation of unspecified interphalangeal joint of left ring finger
10-S63422,S63422,10,Traumatic rupture of palmar ligament of right middle finger at metacarpophalangeal and interphalangeal joint
10-S63610D,S63610D,10,"Unspecified sprain of right index finger, subsequent encounter"
10-S63657,S63657,10,Sprain of metacarpophalangeal joint of left little finger
10-S65301S,S65301S,10,"Unspecified injury of deep palmar arch of right hand, sequela"
10-S71031,S71031,10,"Puncture wound without foreign body, right hip"
10-S72011R,S72011R,10,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
10-S72362F,S72362F,10,"Displaced segmental fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
10-S72433F,S72433F,10,"Displaced fracture of medial condyle of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
10-S7701XS,S7701XS,10,"Crushing injury of right hip, sequela"
10-S80262S,S80262S,10,"Insect bite (nonvenomous), left knee, sequela"
10-S82146,S82146,10,Nondisplaced bicondylar fracture of unspecified tibia
10-S82261,S82261,10,Displaced segmental fracture of shaft of right tibia
10-S8286,S8286,10,Maisonneuve's fracture
10-S85411D,S85411D,10,"Laceration of lesser saphenous vein at lower leg level, right leg, subsequent encounter"
10-S89101S,S89101S,10,"Unspecified physeal fracture of lower end of right tibia, sequela"
10-S89112P,S89112P,10,"Salter-Harris Type I physeal fracture of lower end of left tibia, subsequent encounter for fracture with malunion"
10-S89131K,S89131K,10,"Salter-Harris Type III physeal fracture of lower end of right tibia, subsequent encounter for fracture with nonunion"
10-S91125D,S91125D,10,"Laceration with foreign body of left lesser toe(s) without damage to nail, subsequent encounter"
10-S93322A,S93322A,10,"Subluxation of tarsometatarsal joint of left foot, initial encounter"
10-S97112A,S97112A,10,"Crushing injury of left great toe, initial encounter"
10-T1582XA,T1582XA,10,"Foreign body in other and multiple parts of external eye, left eye, initial encounter"
10-T2069,T2069,10,"Corrosion of second degree of multiple sites of head, face, and neck"
10-T23509D,T23509D,10,"Corrosion of first degree of unspecified hand, unspecified site, subsequent encounter"
10-T24712D,T24712D,10,"Corrosion of third degree of left thigh, subsequent encounter"
10-T25312A,T25312A,10,"Burn of third degree of left ankle, initial encounter"
10-T367X5S,T367X5S,10,"Adverse effect of antifungal antibiotics, systemically used, sequela"
10-T386X5D,T386X5D,10,"Adverse effect of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, subsequent encounter"
10-T41295S,T41295S,10,"Adverse effect of other general anesthetics, sequela"
10-T43212D,T43212D,10,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, subsequent encounter"
10-T441X5A,T441X5A,10,"Adverse effect of other parasympathomimetics [cholinergics], initial encounter"
10-T446X2,T446X2,10,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm"
10-T462X5D,T462X5D,10,"Adverse effect of other antidysrhythmic drugs, subsequent encounter"
10-T484X5,T484X5,10,Adverse effect of expectorants
10-T497X1A,T497X1A,10,"Poisoning by dental drugs, topically applied, accidental (unintentional), initial encounter"
10-T534X4D,T534X4D,10,"Toxic effect of dichloromethane, undetermined, subsequent encounter"
10-T588X,T588X,10,Toxic effect of carbon monoxide from other source
10-T618X3S,T618X3S,10,"Toxic effect of other seafood, assault, sequela"
10-T71133S,T71133S,10,"Asphyxiation due to being trapped in bed linens, assault, sequela"
10-T819XXS,T819XXS,10,"Unspecified complication of procedure, sequela"
10-T832,T832,10,Mechanical complication of graft of urinary organ
10-T843,T843,10,"Mechanical complication of other bone devices, implants and grafts"
10-V5960XS,V5960XS,10,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, sequela"
10-V6909,V6909,10,Driver of heavy transport vehicle injured in collision with other motor vehicles in nontraffic accident
10-V719XXS,V719XXS,10,"Unspecified occupant of bus injured in collision with pedal cycle in traffic accident, sequela"
10-V769XXS,V769XXS,10,"Unspecified occupant of bus injured in collision with other nonmotor vehicle in traffic accident, sequela"
10-V9085XA,V9085XA,10,"Drowning and submersion due to other accident to canoe or kayak, initial encounter"
10-V9369XS,V9369XS,10,"Machinery accident on board unspecified watercraft, sequela"
10-V9789XA,V9789XA,10,"Other air transport accidents, not elsewhere classified, initial encounter"
10-W1809XS,W1809XS,10,"Striking against other object with subsequent fall, sequela"
10-W2111XS,W2111XS,10,"Struck by baseball bat, sequela"
10-Y35412D,Y35412D,10,"Legal intervention involving bayonet, bystander injured, subsequent encounter"
10-Y92239,Y92239,10,Unspecified place in hospital as the place of occurrence of the external cause
10-Z0279,Z0279,10,Encounter for issue of other medical certificate
10-Z8511,Z8511,10,Personal history of malignant neoplasm of bronchus and lung
10-Z901,Z901,10,Acquired absence of breast and nipple
10-C8100,C8100,10,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site"
10-D610,D610,10,Constitutional aplastic anemia
10-E1100,E1100,10,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
10-E6609,E6609,10,Other obesity due to excess calories
10-E720,E720,10,Disorders of amino-acid transport
10-F424,F424,10,Excoriation (skin-picking) disorder
10-H01025,H01025,10,Squamous blepharitis left lower eyelid
10-H1033,H1033,10,"Unspecified acute conjunctivitis, bilateral"
10-H1124,H1124,10,Scarring of conjunctiva
10-H251,H251,10,Age-related nuclear cataract
10-H4060X1,H4060X1,10,"Glaucoma secondary to drugs, unspecified eye, mild stage"
10-H59323,H59323,10,"Postprocedural hemorrhage of eye and adnexa following other procedure, bilateral"
10-H6042,H6042,10,Cholesteatoma of left external ear
10-H9522,H9522,10,Intraoperative hemorrhage and hematoma of ear and mastoid process complicating other procedure
10-I69910,I69910,10,Attention and concentration deficit following unspecified cerebrovascular disease
10-K044,K044,10,Acute apical periodontitis of pulpal origin
10-L02432,L02432,10,Carbuncle of left axilla
10-L03111,L03111,10,Cellulitis of right axilla
10-L123,L123,10,Acquired epidermolysis bullosa
10-L97122,L97122,10,Non-pressure chronic ulcer of left thigh with fat layer exposed
10-M1A231,M1A231,10,"Drug-induced chronic gout, right wrist"
10-M50223,M50223,10,Other cervical disc displacement at C6-C7 level
10-M6021,M6021,10,"Foreign body granuloma of soft tissue, not elsewhere classified, shoulder"
10-M79A1,M79A1,10,Nontraumatic compartment syndrome of upper extremity
10-M84359P,M84359P,10,"Stress fracture, hip, unspecified, subsequent encounter for fracture with malunion"
10-M84471S,M84471S,10,"Pathological fracture, right ankle, sequela"
10-M898X8,M898X8,10,"Other specified disorders of bone, other site"
10-N83319,N83319,10,"Acquired atrophy of ovary, unspecified side"
10-O361990,O361990,10,"Maternal care for other isoimmunization, unspecified trimester, not applicable or unspecified"
10-O368195,O368195,10,"Decreased fetal movements, unspecified trimester, fetus 5"
10-P003,P003,10,Newborn affected by other maternal circulatory and respiratory diseases
10-P540,P540,10,Neonatal hematemesis
10-Q668,Q668,10,Other congenital deformities of feet
10-S069X0D,S069X0D,10,"Unspecified intracranial injury without loss of consciousness, subsequent encounter"
10-S100XXA,S100XXA,10,"Contusion of throat, initial encounter"
10-S143XXS,S143XXS,10,"Injury of brachial plexus, sequela"
10-S2752XA,S2752XA,10,"Contusion of thoracic trachea, initial encounter"
10-S27802,S27802,10,Contusion of diaphragm
10-S31501A,S31501A,10,"Unspecified open wound of unspecified external genital organs, male, initial encounter"
10-S36202D,S36202D,10,"Unspecified injury of tail of pancreas, subsequent encounter"
10-S42332K,S42332K,10,"Displaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion"
10-S45,S45,10,Injury of blood vessels at shoulder and upper arm level
10-S46901,S46901,10,"Unspecified injury of unspecified muscle, fascia and tendon at shoulder and upper arm level, right arm"
10-S52012G,S52012G,10,"Torus fracture of upper end of left ulna, subsequent encounter for fracture with delayed healing"
10-S52272G,S52272G,10,"Monteggia's fracture of left ulna, subsequent encounter for closed fracture with delayed healing"
10-S52331G,S52331G,10,"Displaced oblique fracture of shaft of right radius, subsequent encounter for closed fracture with delayed healing"
10-S53134S,S53134S,10,"Medial dislocation of right ulnohumeral joint, sequela"
10-S59219S,S59219S,10,"Salter-Harris Type I physeal fracture of lower end of radius, unspecified arm, sequela"
10-S60444,S60444,10,External constriction of right ring finger
10-S62301S,S62301S,10,"Unspecified fracture of second metacarpal bone, left hand, sequela"
10-S62623A,S62623A,10,"Displaced fracture of middle phalanx of left middle finger, initial encounter for closed fracture"
10-S62651G,S62651G,10,"Nondisplaced fracture of middle phalanx of left index finger, subsequent encounter for fracture with delayed healing"
10-S6412XA,S6412XA,10,"Injury of median nerve at wrist and hand level of left arm, initial encounter"
10-S66115,S66115,10,"Strain of flexor muscle, fascia and tendon of left ring finger at wrist and hand level"
10-S66395A,S66395A,10,"Other injury of extensor muscle, fascia and tendon of left ring finger at wrist and hand level, initial encounter"
10-S6980XS,S6980XS,10,"Other specified injuries of unspecified wrist, hand and finger(s), sequela"
10-S72065G,S72065G,10,"Nondisplaced articular fracture of head of left femur, subsequent encounter for closed fracture with delayed healing"
10-S72352D,S72352D,10,"Displaced comminuted fracture of shaft of left femur, subsequent encounter for closed fracture with routine healing"
10-S72435C,S72435C,10,"Nondisplaced fracture of medial condyle of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
10-S728X2H,S728X2H,10,"Other fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing"
10-S82115K,S82115K,10,"Nondisplaced fracture of left tibial spine, subsequent encounter for closed fracture with nonunion"
10-S82423F,S82423F,10,"Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
10-S8254XA,S8254XA,10,"Nondisplaced fracture of medial malleolus of right tibia, initial encounter for closed fracture"
10-S82831F,S82831F,10,"Other fracture of upper and lower end of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
10-S86319D,S86319D,10,"Strain of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, unspecified leg, subsequent encounter"
10-S92404G,S92404G,10,"Nondisplaced unspecified fracture of right great toe, subsequent encounter for fracture with delayed healing"
10-S99009B,S99009B,10,"Unspecified physeal fracture of unspecified calcaneus, initial encounter for open fracture"
10-S99102G,S99102G,10,"Unspecified physeal fracture of left metatarsal, subsequent encounter for fracture with delayed healing"
10-S99212K,S99212K,10,"Salter-Harris Type I physeal fracture of phalanx of left toe, subsequent encounter for fracture with nonunion"
10-S99222G,S99222G,10,"Salter-Harris Type II physeal fracture of phalanx of left toe, subsequent encounter for fracture with delayed healing"
10-T22419S,T22419S,10,"Corrosion of unspecified degree of unspecified forearm, sequela"
10-T22611,T22611,10,Corrosion of second degree of right forearm
10-T23091A,T23091A,10,"Burn of unspecified degree of multiple sites of right wrist and hand, initial encounter"
10-T24239S,T24239S,10,"Burn of second degree of unspecified lower leg, sequela"
10-T33531,T33531,10,Superficial frostbite of right finger(s)
10-T371X1,T371X1,10,"Poisoning by antimycobacterial drugs, accidental (unintentional)"
10-T375X4,T375X4,10,"Poisoning by antiviral drugs, undetermined"
10-T38802S,T38802S,10,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, sequela"
10-T408X2,T408X2,10,"Poisoning by lysergide [LSD], intentional self-harm"
10-T451X5S,T451X5S,10,"Adverse effect of antineoplastic and immunosuppressive drugs, sequela"
10-T458X2S,T458X2S,10,"Poisoning by other primarily systemic and hematological agents, intentional self-harm, sequela"
10-T4593XD,T4593XD,10,"Poisoning by unspecified primarily systemic and hematological agent, assault, subsequent encounter"
10-T483X4S,T483X4S,10,"Poisoning by antitussives, undetermined, sequela"
10-T506X2S,T506X2S,10,"Poisoning by antidotes and chelating agents, intentional self-harm, sequela"
10-T6091XD,T6091XD,10,"Toxic effect of unspecified pesticide, accidental (unintentional), subsequent encounter"
10-T63694S,T63694S,10,"Toxic effect of contact with other venomous marine animals, undetermined, sequela"
10-T81511D,T81511D,10,"Adhesions due to foreign body accidentally left in body following infusion or transfusion, subsequent encounter"
10-T84099A,T84099A,10,"Other mechanical complication of unspecified internal joint prosthesis, initial encounter"
10-V3959XS,V3959XS,10,"Passenger in three-wheeled motor vehicle injured in collision with other motor vehicles in traffic accident, sequela"
10-V467XXA,V467XXA,10,"Person on outside of car injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
10-W5659XS,W5659XS,10,"Other contact with other fish, sequela"
10-W6191XA,W6191XA,10,"Bitten by other birds, initial encounter"
10-Y36010,Y36010,10,"War operations involving explosion of depth-charge, military personnel"
10-Y3746,Y3746,10,Military operations involving intentional restriction of air and airway
10-Y37471,Y37471,10,"Military operations involving unintentional restriction of air and airway, civilian"
10-Z86011,Z86011,10,Personal history of benign neoplasm of the brain
10-B72,B72,10,Dracunculiasis
10-C436,C436,10,"Malignant melanoma of upper limb, including shoulder"
10-C57,C57,10,Malignant neoplasm of other and unspecified female genital organs
10-C860,C860,10,"Extranodal NK/T-cell lymphoma, nasal type"
10-C91Z1,C91Z1,10,"Other lymphoid leukemia, in remission"
10-D7812,D7812,10,Accidental puncture and laceration of the spleen during other procedure
10-D8989,D8989,10,"Other specified disorders involving the immune mechanism, not elsewhere classified"
10-H10,H10,10,Conjunctivitis
10-H319,H319,10,Unspecified disorder of choroid
10-H35033,H35033,10,"Hypertensive retinopathy, bilateral"
10-H442D1,H442D1,10,"Degenerative myopia with foveoschisis, right eye"
10-H47631,H47631,10,"Disorders of visual cortex in (due to) neoplasm, right side of brain"
10-H7190,H7190,10,"Unspecified cholesteatoma, unspecified ear"
10-I352,I352,10,Nonrheumatic aortic (valve) stenosis with insufficiency
10-M1229,M1229,10,"Villonodular synovitis (pigmented), multiple sites"
10-M2360,M2360,10,Other spontaneous disruption of unspecified ligament of knee
10-M2412,M2412,10,"Other articular cartilage disorders, elbow"
10-M25329,M25329,10,"Other instability, unspecified elbow"
10-M6726,M6726,10,"Synovial hypertrophy, not elsewhere classified, lower leg"
10-M84474A,M84474A,10,"Pathological fracture, right foot, initial encounter for fracture"
10-M8460XK,M8460XK,10,"Pathological fracture in other disease, unspecified site, subsequent encounter for fracture with nonunion"
10-M9919,M9919,10,Subluxation complex (vertebral) of abdomen and other regions
10-N489,N489,10,"Disorder of penis, unspecified"
10-O641,O641,10,Obstructed labor due to breech presentation
10-O690XX1,O690XX1,10,"Labor and delivery complicated by prolapse of cord, fetus 1"
10-P269,P269,10,Unspecified pulmonary hemorrhage originating in the perinatal period
10-P612,P612,10,Anemia of prematurity
10-Q268,Q268,10,Other congenital malformations of great veins
10-Q269,Q269,10,"Congenital malformation of great vein, unspecified"
10-Q84,Q84,10,Other congenital malformations of integument
10-Q970,Q970,10,"Karyotype 47, XXX"
10-R85614,R85614,10,Cytologic evidence of malignancy on smear of anus
10-S003,S003,10,Superficial injury of nose
10-S0282XG,S0282XG,10,"Fracture of other specified skull and facial bones, left side, subsequent encounter for fracture with delayed healing"
10-S062X3A,S062X3A,10,"Diffuse traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter"
10-S06337D,S06337D,10,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter"
10-S1093,S1093,10,Contusion of unspecified part of neck
10-S13140D,S13140D,10,"Subluxation of C3/C4 cervical vertebrae, subsequent encounter"
10-S143,S143,10,Injury of brachial plexus
10-S25321D,S25321D,10,"Major laceration of right innominate or subclavian vein, subsequent encounter"
10-S25401A,S25401A,10,"Unspecified injury of right pulmonary blood vessels, initial encounter"
10-S2542,S2542,10,Major laceration of pulmonary blood vessels
10-S314,S314,10,Open wound of vagina and vulva
10-S35318D,S35318D,10,"Other specified injury of portal vein, subsequent encounter"
10-S35496A,S35496A,10,"Other specified injury of unspecified renal vein, initial encounter"
10-S3620,S3620,10,Unspecified injury of pancreas
10-S41152S,S41152S,10,"Open bite of left upper arm, sequela"
10-S42271K,S42271K,10,"Torus fracture of upper end of right humerus, subsequent encounter for fracture with nonunion"
10-S43304D,S43304D,10,"Dislocation of unspecified parts of right shoulder girdle, subsequent encounter"
10-S43422A,S43422A,10,"Sprain of left rotator cuff capsule, initial encounter"
10-S46012D,S46012D,10,"Strain of muscle(s) and tendon(s) of the rotator cuff of left shoulder, subsequent encounter"
10-S46012S,S46012S,10,"Strain of muscle(s) and tendon(s) of the rotator cuff of left shoulder, sequela"
10-S50341,S50341,10,External constriction of right elbow
10-S51029S,S51029S,10,"Laceration with foreign body of unspecified elbow, sequela"
10-S52182G,S52182G,10,"Other fracture of upper end of left radius, subsequent encounter for closed fracture with delayed healing"
10-S52182M,S52182M,10,"Other fracture of upper end of left radius, subsequent encounter for open fracture type I or II with nonunion"
10-S52262K,S52262K,10,"Displaced segmental fracture of shaft of ulna, left arm, subsequent encounter for closed fracture with nonunion"
10-S52336A,S52336A,10,"Nondisplaced oblique fracture of shaft of unspecified radius, initial encounter for closed fracture"
10-S52342N,S52342N,10,"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
10-S52382M,S52382M,10,"Bent bone of left radius, subsequent encounter for open fracture type I or II with nonunion"
10-S55002A,S55002A,10,"Unspecified injury of ulnar artery at forearm level, left arm, initial encounter"
10-S58122S,S58122S,10,"Partial traumatic amputation at level between elbow and wrist, left arm, sequela"
10-S59032S,S59032S,10,"Salter-Harris Type III physeal fracture of lower end of ulna, left arm, sequela"
10-S61216,S61216,10,Laceration without foreign body of right little finger without damage to nail
10-S62032G,S62032G,10,"Displaced fracture of proximal third of navicular [scaphoid] bone of left wrist, subsequent encounter for fracture with delayed healing"
10-S62034P,S62034P,10,"Nondisplaced fracture of proximal third of navicular [scaphoid] bone of right wrist, subsequent encounter for fracture with malunion"
10-S62324K,S62324K,10,"Displaced fracture of shaft of fourth metacarpal bone, right hand, subsequent encounter for fracture with nonunion"
10-S62392D,S62392D,10,"Other fracture of third metacarpal bone, right hand, subsequent encounter for fracture with routine healing"
10-S62620K,S62620K,10,"Displaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with nonunion"
10-S62631P,S62631P,10,"Displaced fracture of distal phalanx of left index finger, subsequent encounter for fracture with malunion"
10-S63238A,S63238A,10,"Subluxation of proximal interphalangeal joint of other finger, initial encounter"
10-S65514S,S65514S,10,"Laceration of blood vessel of right ring finger, sequela"
10-S6742XD,S6742XD,10,"Crushing injury of left wrist and hand, subsequent encounter"
10-S6991,S6991,10,"Unspecified injury of right wrist, hand and finger(s)"
10-S71012,S71012,10,"Laceration without foreign body, left hip"
10-S72012P,S72012P,10,"Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with malunion"
10-S72092A,S72092A,10,"Other fracture of head and neck of left femur, initial encounter for closed fracture"
10-S72401S,S72401S,10,"Unspecified fracture of lower end of right femur, sequela"
10-S7291XE,S7291XE,10,"Unspecified fracture of right femur, subsequent encounter for open fracture type I or II with routine healing"
10-S73015A,S73015A,10,"Posterior dislocation of left hip, initial encounter"
10-S75911A,S75911A,10,"Laceration of unspecified blood vessel at hip and thigh level, right leg, initial encounter"
10-S82423N,S82423N,10,"Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
10-S82433G,S82433G,10,"Displaced oblique fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing"
10-S82892P,S82892P,10,"Other fracture of left lower leg, subsequent encounter for closed fracture with malunion"
10-S83133D,S83133D,10,"Medial subluxation of proximal end of tibia, unspecified knee, subsequent encounter"
10-S8422XS,S8422XS,10,"Injury of cutaneous sensory nerve at lower leg level, left leg, sequela"
10-S85292,S85292,10,"Other specified injury of peroneal artery, left leg"
10-S89149S,S89149S,10,"Salter-Harris Type IV physeal fracture of lower end of unspecified tibia, sequela"
10-S90812,S90812,10,"Abrasion, left foot"
10-S91253A,S91253A,10,"Open bite of unspecified great toe with damage to nail, initial encounter"
10-S91351S,S91351S,10,"Open bite, right foot, sequela"
10-S92014D,S92014D,10,"Nondisplaced fracture of body of right calcaneus, subsequent encounter for fracture with routine healing"
10-S92111D,S92111D,10,"Displaced fracture of neck of right talus, subsequent encounter for fracture with routine healing"
10-S92406S,S92406S,10,"Nondisplaced unspecified fracture of unspecified great toe, sequela"
10-S92819,S92819,10,Other fracture of unspecified foot
10-S9305XA,S9305XA,10,"Dislocation of left ankle joint, initial encounter"
10-S948X1,S948X1,10,"Injury of other nerves at ankle and foot level, right leg"
10-T22212D,T22212D,10,"Burn of second degree of left forearm, subsequent encounter"
10-T22631S,T22631S,10,"Corrosion of second degree of right upper arm, sequela"
10-T23019S,T23019S,10,"Burn of unspecified degree of unspecified thumb (nail), sequela"
10-T319,T319,10,Burns involving 90% or more of body surface
10-T366X5,T366X5,10,Adverse effect of rifampicins
